,data_type,Disease,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Data,CLRD,,180.0,200.0,166.0,165.0,168.0,188.0,241.0,189.0
1,Data,Cancer,,34.0,18.0,32.0,40.0,35.0,36.0,29.0,28.0
2,Data,Diabetes,,24.0,22.0,33.0,35.0,24.0,18.0,26.0,26.0
3,Data,Digestive,,209.0,219.0,214.0,193.0,216.0,220.0,159.0,151.0
4,Data,Drug Issue,,21.0,21.0,21.0,16.0,19.0,28.0,22.0,15.0
5,Data,Heart Disease,,509.0,440.0,304.0,279.0,293.0,371.0,384.0,279.0
6,Data,Infection,,488.0,532.0,458.0,482.0,586.0,502.0,523.0,419.0
7,Data,Metal Health,,35.0,22.0,9.0,5.0,12.0,20.0,21.0,8.0
8,Data,Neurological,,46.0,38.0,26.0,31.0,23.0,15.0,12.0,28.0
9,Data,Other,,361.0,348.0,295.0,315.0,361.0,313.0,322.0,264.0
10,Data,Other Circulatory,,105.0,112.0,97.0,113.0,91.0,91.0,66.0,58.0
11,Data,Other Respiratory,,233.0,201.0,217.0,256.0,182.0,215.0,205.0,227.0
12,Data,Renal Failure,,162.0,140.0,136.0,142.0,159.0,130.0,110.0,114.0
13,Data,Stroke,,25.0,15.0,10.0,16.0,10.0,4.0,2.0,12.0
14,Data,Trauma,,41.0,28.0,36.0,19.0,19.0,23.0,14.0,15.0
15,DOH,Heart Disease,286.4,259.4,313.2,293.6,258.9,235.1,247.4,271.8,
16,DOH,Cancer,184.1,175.5,188.9,159.3,149.0,157.4,175.4,170.1,
17,DOH,CLRD,45.2,57.9,65.4,56.3,61.0,38.9,37.2,57.7,
18,DOH,Stroke,20.0,37.0,39.0,36.0,39.0,38.0,36.0,39.0,
19,DOH,Unintentional Injury,35.7,,39.8,42.0,30.2,45.0,,42.9,
20,DOH,Diabetes,,,,,,36.8,,42.9,
