,Age Score,Percent Female,Percent Caucasian,Avg APR Severity,Avg APR Mortality Risk,Percent Emergency Admission
All Diagnoses,1.0,1.0,1.0,1.0,1.0,1.0
Infection,1.3131499276030012,0.9246149339712452,1.0069939506390546,1.345413073941105,1.4668540261904144,1.427190556564622
Neurological,1.2204915195569401,0.6983118300276012,1.0368757434625697,1.1527116562217024,1.1984185664407476,1.3363736170931508
,0.0,0.0,0.0,0.0,0.0,0.0
Metal Health,0.40637009345794395,0.9406641247833623,0.983723897659227,0.7791337690631809,0.5887931977818854,1.3494700785406637
Respiratory,1.3039441386775625,0.9395054014549012,1.025816082502058,1.284921275218645,1.3357328733871479,1.3366461239481862
Drug Issue,0.4560537645699885,0.5970245165813098,0.8347880337384475,1.0490971253253694,0.8626970445907496,1.3176043247182472
Cardiology,0.9957577110777965,0.7283199555190139,1.032656375118209,1.116971239681985,1.28122709178427,1.3392242434094759
Diabetes,0.9946261682242991,0.6856152512998268,0.9690800217746325,1.13719438392641,1.0008826247689464,1.4658348112490498
Circulatory,1.356014647209925,0.9522434045830928,1.0074906009352904,1.114443495974666,1.2443882349126052,1.2660381635619324
Cancer,0.6283772302463891,1.2154088545769657,1.0767555797495916,1.2884575603529853,1.386029238783398,1.2027362553838359
Trauma,0.3653355989804588,0.7791082401134395,1.0767555797495916,1.2188112057393103,1.4458578390186523,1.5034203192297948
