apr_drg_description,diagnosis,count
Septicemia & disseminated infections,Infection,341
Chronic obstructive pulmonary disease,Respiratory,241
Heart failure,Cardiology,161
Other pneumonia,Respiratory,118
RENAL FAILURE,Other,110
Acute myocardial infarction,Cardiology,73
Cardiac arrhythmia & conduction disorders,Other,66
Infectious & parasitic diseases including HIV w O.R. procedure,Infection,34
Respiratory Failure,Respiratory,32
"Other gastroenteritis, nausa & vomiting",Infection,32
Kidney & urinary tract infections,Infection,32
Electrolyte disorders except hypovolemia related,Other,30
Major small & large bowel procedures,Other,27
Cardiac catheterization for coronary artery disease,Cardiology,26
Diabetes,Diabetes,26
Pulmonary embolism,Respiratory,25
Cellulitis & other skin infections,Other,24
Major respiratory infections & inflammations,Infection,22
Poisoning of medicinal agents,Other,21
Other digestive system diagnoses,Other,21
Peptic ulcer & gastritis,Other,19
Percutaneous coronary intervention w AMI,Cardiology,18
Major gastrointestinal & peritoneal infections,Infection,18
Other & unspecified gastrointestinal hemorrhage,Other,17
Intestinal obstruction,Other,17
Diverticulitis & diverticulosis,Infection,16
Vaginal delivery,Other,14
Respiratory malignancy,Cancer,14
Urethral & transurethral procedures,Other,14
Major hematologic/immunologic diag exc sickle cell crisis & coagul,Circulatory,13
Other anemia & disorders of blood & blood-forming organs,Circulatory,13
Laparoscopic cholecystectomy,Other,12
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",Respiratory,12
Hypovolemia & related electrolyte disorders,Other,12
Peripheral & other vascular disorders,Circulatory,12
Other endocrine disorders,Other,12
"Signs, symptoms & other factors influencing health status",Other,12
Disorders of gallbladder & biliary tract,Other,11
"Post-operative, post-traumatic, other device infections",Infection,11
Hepatic coma & other major acute liver disorders,Other,11
Syncope & collapse,Cardiology,11
"Malfunction, reaction, complic of genitourinary device or proc",Other,11
Hip and femur fracture repair,Other,11
Foot & toe procedures,Other,9
Respiratory system diagnosis w ventilator support 96+ hours,Respiratory,9
Schizophrenia,Metal Health,9
Cesarean delivery,Other,9
Skin ulcers,Other,9
Major depressive disorders & other/unspecified psychoses,Metal Health,8
