apr_drg_description,diagnosis,count
Septicemia & disseminated infections,Infection,423
Chronic obstructive pulmonary disease,Respiratory,168
RENAL FAILURE,Other,159
Heart failure,Cardiology,121
Other pneumonia,Respiratory,96
Cardiac arrhythmia & conduction disorders,Other,59
Acute myocardial infarction,Cardiology,58
Major small & large bowel procedures,Other,55
Respiratory Failure,Respiratory,33
Infectious & parasitic diseases including HIV w O.R. procedure,Infection,32
Electrolyte disorders except hypovolemia related,Other,32
Other & unspecified gastrointestinal hemorrhage,Other,30
Major respiratory infections & inflammations,Infection,30
"Other gastroenteritis, nausa & vomiting",Infection,27
Peptic ulcer & gastritis,Other,25
Vaginal delivery,Other,25
Intestinal obstruction,Other,24
Diabetes,Diabetes,24
Cellulitis & other skin infections,Other,22
Pulmonary embolism,Respiratory,22
Other anemia & disorders of blood & blood-forming organs,Circulatory,21
Peripheral & other vascular disorders,Circulatory,20
"Malfunction, reaction, complic of genitourinary device or proc",Other,19
Major gastrointestinal & peritoneal infections,Infection,19
Diverticulitis & diverticulosis,Infection,18
Hip and femur fracture repair,Other,18
Poisoning of medicinal agents,Other,17
"Post-operative, post-traumatic, other device infections",Infection,17
Gastrointestinal vascular insufficiency,Circulatory,14
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",Respiratory,14
Laparoscopic cholecystectomy,Other,14
Cesarean delivery,Other,14
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",Cardiology,13
Hypovolemia & related electrolyte disorders,Other,13
Nontraumatic stupor & coma,Neurological,13
Syncope & collapse,Cardiology,13
Kidney & urinary tract infections,Infection,12
"Signs, symptoms & other factors influencing health status",Other,12
Other endocrine disorders,Other,12
Hepatic coma & other major acute liver disorders,Other,11
"Other kidney & urinary tract diagnoses, signs & symptoms",Other,11
Major hematologic/immunologic diag exc sickle cell crisis & coagul,Circulatory,11
Other digestive system diagnoses,Other,10
Respiratory malignancy,Cancer,10
Other small & large bowel procedures,Other,10
CVA & precerebral occlusion w infarct,Circulatory,9
Alcohol abuse & dependence,Drug Issue,9
Respiratory system diagnosis w ventilator support 96+ hours,Respiratory,8
Other disorders of the liver,Other,8
Other complications of treatment,Other,8
Disorders of pancreas except malignancy,Other,8
"Neonate birthwt >2499g, normal newborn or neonate w other problem",Other,8
OTHER VASCULAR PROCEDURES,Other,8
Toxic effects of non-medicinal substances,Other,8
Tracheostomy w MV 96+ hours w/o extensive procedure,Other,8
"Contusion, open wound & other trauma to skin & subcutaneous tissue",Other,7
"Malfunction,reaction,complication of cardiac/vasc device or procedure",Cardiology,7
Major esophageal disorders,Other,7
Moderately extensive procedure unrelated to principal diagnosis,Other,7
O.R. procedure for other complications of treatment,Other,7
Cholecystectomy except laparoscopic,Other,6
Major depressive disorders & other/unspecified psychoses,Metal Health,6
Disorders of gallbladder & biliary tract,Other,6
Knee joint replacement,Other,6
Alcoholic liver disease,Drug Issue,6
Inflammatory bowel disease,Other,6
Hip joint replacement,Other,6
Nonextensive procedure unrelated to principal diagnosis,Other,6
Major abdominal vascular procedures,Circulatory,5
Cardiac catheterization for coronary artery disease,Cardiology,5
Foot & toe procedures,Other,5
"Malfunction, reaction, complic of orthopedic device or procedure",Other,5
Percutaneous coronary intervention w AMI,Cardiology,5
Seizure,Neurological,4
Postpartum & post abortion diagnoses w/o procedure,Other,4
Extensive procedure unrelated to principal diagnosis,Other,4
Female reproductive system malignancy,Cancer,4
