,Age Score,Percent Female,Percent Caucasian,Avg APR Severity,Avg APR Mortality Risk,Percent Emergency Admission
All Diagnoses,2.4525157741465784,0.5955347031224721,0.9288141077495551,2.0949684517068436,1.8084452353988028,0.6647791619479049
Infection,3.197055492638732,0.5334088335220838,0.9411098527746319,2.7655719139297847,2.576443941109853,0.9479048697621744
Neurological,3.08,0.48,0.96,2.32,2.06,0.96
,0.0,0.0,0.0,0.0,0.0,0.0
Metal Health,1.9931972789115646,0.4880952380952381,0.8996598639455783,1.629251700680272,1.0680272108843538,0.891156462585034
Respiratory,3.189792663476874,0.5454545454545454,0.960127591706539,2.555023923444976,2.291866028708134,0.9154704944178629
Drug Issue,1.5573770491803278,0.4262295081967213,0.8852459016393442,2.2131147540983607,1.6065573770491803,0.9016393442622951
Cardiology,2.595533498759305,0.5359801488833746,0.9602977667493796,2.4615384615384617,2.468982630272953,0.9528535980148883
Diabetes,2.525,0.475,0.825,2.625,2.025,1.0
Circulatory,3.4153846153846152,0.6205128205128205,0.9282051282051282,2.194871794871795,2.117948717948718,0.8153846153846154
Cancer,2.38,0.58,0.98,2.78,2.7,0.9
Trauma,2.0833333333333335,0.5833333333333334,0.8333333333333334,2.1666666666666665,2.0833333333333335,1.0
