,Age Score,Percent Female,Percent Caucasian,Avg APR Severity,Avg APR Mortality Risk,Percent Emergency Admission
All Diagnoses,2.488372093023256,0.583417593528817,0.9287158746208292,2.088473205257836,1.8233906302662621,0.6651499831479609
Infection,3.267605633802817,0.5394366197183098,0.9352112676056338,2.8098591549295775,2.674647887323944,0.9492957746478873
Neurological,3.037037037037037,0.4074074074074074,0.9629629629629629,2.4074074074074074,2.185185185185185,0.8888888888888888
,0.0,0.0,0.0,0.0,0.0,0.0
Metal Health,1.0112,0.5488,0.9136,1.6272,1.0736,0.8976
Respiratory,3.244698205546493,0.5481239804241436,0.9526916802610114,2.6835236541598695,2.435562805872757,0.8890701468189234
Drug Issue,1.1348314606741574,0.34831460674157305,0.7752808988764045,2.191011235955056,1.5730337078651686,0.8764044943820225
Cardiology,2.477815699658703,0.4249146757679181,0.9590443686006825,2.332764505119454,2.33617747440273,0.8907849829351536
Diabetes,2.475,0.4,0.9,2.375,1.825,0.975
Circulatory,3.374269005847953,0.5555555555555556,0.935672514619883,2.327485380116959,2.2690058479532165,0.8421052631578947
Cancer,1.5636363636363637,0.7090909090909091,1.0,2.690909090909091,2.5272727272727273,0.8
Trauma,0.9090909090909091,0.45454545454545453,1.0,2.5454545454545454,2.6363636363636362,1.0
