,Age Score,Percent Female,Percent Caucasian,Avg APR Severity,Avg APR Mortality Risk,Percent Emergency Admission
All Diagnoses,2.4568124322370797,0.5755330683050235,0.93964582580412,2.0343332128659197,1.7708709794000723,0.6353451391398627
Infection,3.113263785394933,0.518628912071535,0.9493293591654247,2.6900149031296574,2.49478390461997,0.9165424739195231
Neurological,3.176470588235294,0.5098039215686274,0.9803921568627451,2.549019607843137,2.196078431372549,0.9607843137254902
,0.0,0.0,0.0,0.0,0.0,0.0
Metal Health,0.9248291571753986,0.4760820045558087,0.9225512528473804,1.55125284738041,1.0523917995444192,0.8792710706150342
Respiratory,3.3001579778830963,0.5371248025276462,0.95260663507109,2.69826224328594,2.462875197472354,0.9447077409162717
Drug Issue,0.9205298013245033,0.40397350993377484,0.847682119205298,1.8741721854304636,1.1986754966887416,0.8874172185430463
Cardiology,1.4822834645669292,0.4566929133858268,0.9744094488188977,2.3031496062992125,2.2421259842519685,0.844488188976378
Diabetes,1.8636363636363635,0.45454545454545453,0.9545454545454546,2.4545454545454546,2.022727272727273,0.8863636363636364
Circulatory,2.394160583941606,0.48905109489051096,0.948905109489051,2.2335766423357666,2.167883211678832,0.8175182481751825
Cancer,0.5263157894736842,0.47368421052631576,1.0,2.8684210526315788,2.789473684210526,0.8421052631578947
Trauma,1.6428571428571428,0.5,0.8571428571428571,1.5714285714285714,2.2857142857142856,1.0
