apr_drg_description,diagnosis,count
Septicemia & disseminated infections,Infection,364
Chronic obstructive pulmonary disease,Respiratory,188
Heart failure,Cardiology,158
RENAL FAILURE,Other,130
Other pneumonia,Respiratory,102
Acute myocardial infarction,Cardiology,81
Cardiac arrhythmia & conduction disorders,Other,61
Major small & large bowel procedures,Other,51
Other & unspecified gastrointestinal hemorrhage,Other,40
Respiratory Failure,Respiratory,38
Infectious & parasitic diseases including HIV w O.R. procedure,Infection,31
Peptic ulcer & gastritis,Other,27
Pulmonary embolism,Respiratory,27
Electrolyte disorders except hypovolemia related,Other,27
"Other gastroenteritis, nausa & vomiting",Infection,25
"Malfunction, reaction, complic of genitourinary device or proc",Other,23
Other anemia & disorders of blood & blood-forming organs,Circulatory,22
"Post-operative, post-traumatic, other device infections",Infection,20
Major respiratory infections & inflammations,Infection,20
Hypovolemia & related electrolyte disorders,Other,20
Poisoning of medicinal agents,Other,20
Diabetes,Diabetes,18
Cellulitis & other skin infections,Other,18
Cardiac catheterization for coronary artery disease,Cardiology,17
Vaginal delivery,Other,17
Other digestive system diagnoses,Other,17
Intestinal obstruction,Other,16
Respiratory system diagnosis w ventilator support 96+ hours,Respiratory,16
Laparoscopic cholecystectomy,Other,15
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",Cardiology,15
Cesarean delivery,Other,15
Major hematologic/immunologic diag exc sickle cell crisis & coagul,Circulatory,14
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",Respiratory,14
Major gastrointestinal & peritoneal infections,Infection,13
Peripheral & other vascular disorders,Circulatory,13
Disorders of pancreas except malignancy,Other,13
Hepatic coma & other major acute liver disorders,Other,13
Hip and femur fracture repair,Other,12
Other circulatory system diagnoses,Circulatory,12
Other esophageal disorders,Other,11
Alcoholic liver disease,Drug Issue,11
Respiratory malignancy,Cancer,11
Gastrointestinal vascular insufficiency,Circulatory,11
Other endocrine disorders,Other,11
Alcohol abuse & dependence,Drug Issue,10
Syncope & collapse,Cardiology,9
Kidney & urinary tract infections,Infection,9
Major depressive disorders & other/unspecified psychoses,Metal Health,9
Toxic effects of non-medicinal substances,Other,9
Digestive malignancy,Cancer,9
Diverticulitis & diverticulosis,Infection,8
Schizophrenia,Metal Health,8
Foot & toe procedures,Other,7
Major esophageal disorders,Other,7
Major respiratory & chest procedures,Respiratory,7
Percutaneous coronary intervention w AMI,Cardiology,7
Nonextensive procedure unrelated to principal diagnosis,Other,7
Other disorders of the liver,Other,6
Hip joint replacement,Other,6
Moderately extensive procedure unrelated to principal diagnosis,Other,6
"Neonate, transferred < 5 days old, born here",Other,6
Other small & large bowel procedures,Other,5
Cardiac catheterization for other non-coronary conditions,Cardiology,5
Allergic reactions,Other,5
Amputation of lower limb except toes,Other,5
Angina pectoris & coronary atherosclerosis,Cardiology,5
Urethral & transurethral procedures,Other,5
"Other back & neck disorders, fractures & injuries",Other,5
"Signs, symptoms & other factors influencing health status",Other,5
Degenerative nervous system disorders exc mult sclerosis,Neurological,5
Fracture of femur,Other,5
"Fractures & dislocations except femur, pelvis & back",Other,5
Percutaneous coronary intervention w/o AMI,Cardiology,5
Other musculoskeletal system & connective tissue diagnoses,Other,5
Malignancy of hepatobiliary system & pancreas,Cancer,4
Opioid abuse & dependence,Drug Issue,4
Other complications of treatment,Other,4
OTHER VASCULAR PROCEDURES,Other,4
Major chest & respiratory trauma,Trauma,4
"Other kidney & urinary tract diagnoses, signs & symptoms",Other,4
Inflammatory bowel disease,Other,4
"Post-op, post-trauma, other device infections w O.R. procedure",Infection,4
Postpartum & post abortion diagnoses w/o procedure,Other,4
Disorders of gallbladder & biliary tract,Other,4
Connective tissue disorders,Other,4
CVA & precerebral occlusion w infarct,Circulatory,4
Transurethral prostatectomy,Other,4
Asthma,Respiratory,4
Other disorders of nervous system,Neurological,3
Other circulatory system procedures,Circulatory,3
Nontraumatic stupor & coma,Neurological,3
Other antepartum diagnoses,Other,3
"Osteomyelitis, septic arthritis & other musculoskeletal infections",Other,3
