,Age Score,Percent Female,Percent Caucasian,Avg APR Severity,Avg APR Mortality Risk,Percent Emergency Admission
All Diagnoses,2.5742909185532135,0.6157949518605257,0.9395003903200625,1.9765807962529274,1.6811085089773614,0.6677075201665366
Infection,3.042458100558659,0.5754189944134078,0.958659217877095,2.4983240223463685,2.2167597765363127,0.8949720670391061
Neurological,2.0714285714285716,0.5625,0.9732142857142857,2.0535714285714284,1.5892857142857142,0.8571428571428571
,0.0,0.0,0.0,0.0,0.0,0.0
Metal Health,1.0040080160320641,0.4288577154308617,0.9078156312625251,1.6973947895791583,1.088176352705411,0.8316633266533067
Respiratory,3.1027322404371587,0.6218579234972678,0.9584699453551913,2.3158469945355193,1.9704918032786884,0.853551912568306
Drug Issue,1.4782608695652173,0.2898550724637681,0.8840579710144928,2.1159420289855073,1.434782608695652,0.9710144927536232
Cardiology,2.6213991769547325,0.5843621399176955,0.9574759945130316,2.3964334705075445,2.2743484224965704,0.9327846364883402
Diabetes,2.8253968253968256,0.5238095238095238,0.9365079365079365,2.126984126984127,1.7777777777777777,0.8412698412698413
Circulatory,3.46,0.5866666666666667,0.9666666666666667,2.1366666666666667,1.9133333333333333,0.7833333333333333
Cancer,1.5384615384615385,0.5384615384615384,0.9487179487179487,2.4358974358974357,2.076923076923077,0.6666666666666666
Trauma,0.2857142857142857,0.7142857142857143,1.0,1.0,1.2857142857142858,1.0
