apr_drg_description,diagnosis,count
Septicemia & disseminated infections,Infection,294
Chronic obstructive pulmonary disease,Respiratory,165
RENAL FAILURE,Other,142
Other pneumonia,Respiratory,136
Heart failure,Cardiology,125
Cardiac arrhythmia & conduction disorders,Other,71
Acute myocardial infarction,Cardiology,50
Respiratory Failure,Respiratory,46
Major respiratory infections & inflammations,Infection,46
Cellulitis & other skin infections,Other,43
Diabetes,Diabetes,35
Pulmonary embolism,Respiratory,34
Electrolyte disorders except hypovolemia related,Other,34
Kidney & urinary tract infections,Infection,30
Major small & large bowel procedures,Other,29
Other anemia & disorders of blood & blood-forming organs,Circulatory,28
Other & unspecified gastrointestinal hemorrhage,Other,27
Peripheral & other vascular disorders,Circulatory,25
Diverticulitis & diverticulosis,Infection,24
Intestinal obstruction,Other,24
Other digestive system diagnoses,Other,23
Major gastrointestinal & peritoneal infections,Infection,22
"Other gastroenteritis, nausa & vomiting",Infection,20
Peptic ulcer & gastritis,Other,20
Syncope & collapse,Cardiology,19
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",Respiratory,19
Gastrointestinal vascular insufficiency,Circulatory,17
"Malfunction, reaction, complic of genitourinary device or proc",Other,17
Infectious & parasitic diseases including HIV w O.R. procedure,Infection,15
Hip and femur fracture repair,Other,15
Respiratory malignancy,Cancer,15
Hepatic coma & other major acute liver disorders,Other,14
Poisoning of medicinal agents,Other,14
CVA & precerebral occlusion w infarct,Circulatory,14
Knee joint replacement,Other,13
Hypovolemia & related electrolyte disorders,Other,12
Other disorders of the liver,Other,12
Hip joint replacement,Other,11
"Post-operative, post-traumatic, other device infections",Infection,11
Nontraumatic stupor & coma,Neurological,11
Disorders of gallbladder & biliary tract,Other,11
Other musculoskeletal system & connective tissue diagnoses,Other,10
Major hematologic/immunologic diag exc sickle cell crisis & coagul,Circulatory,10
Laparoscopic cholecystectomy,Other,10
Other circulatory system diagnoses,Circulatory,10
Disorders of pancreas except malignancy,Other,10
Other endocrine disorders,Other,9
Other esophageal disorders,Other,9
Vaginal delivery,Other,8
Alcoholic liver disease,Drug Issue,8
"Osteomyelitis, septic arthritis & other musculoskeletal infections",Other,8
Respiratory system diagnosis w ventilator support 96+ hours,Respiratory,8
OTHER VASCULAR PROCEDURES,Other,7
Alcohol abuse & dependence,Drug Issue,7
Foot & toe procedures,Other,7
Cesarean delivery,Other,7
Fracture of pelvis or dislocation of hip,Other,6
"Malfunction,reaction,complication of cardiac/vasc device or procedure",Cardiology,6
Seizure,Neurological,6
"Other kidney & urinary tract diagnoses, signs & symptoms",Other,6
"Respiratory signs, symptoms & minor diagnoses",Respiratory,6
Urinary stones & acquired upper urinary tract obstruction,Other,5
"Signs, symptoms & other factors influencing health status",Other,5
Nonextensive procedure unrelated to principal diagnosis,Other,5
Other disorders of nervous system,Neurological,5
Major esophageal disorders,Other,5
Kidney & urinary tract malignancy,Cancer,5
Cholecystectomy except laparoscopic,Other,4
Appendectomy,Other,4
"Fractures & dislocations except femur, pelvis & back",Other,4
Urethral & transurethral procedures,Other,4
Digestive malignancy,Cancer,4
Fracture of femur,Other,4
"Peripheral, cranial & autonomic nerve disorders",Neurological,4
"Neonate, transferred < 5 days old, born here",Other,3
Amputation of lower limb except toes,Other,3
Musculoskeletal malignancy & pathol fracture d/t muscskel malig,Other,3
Organic mental health disturbances,Other,3
Other complications of treatment,Other,3
Asthma,Respiratory,3
"Major stomach, esophageal & duodenal procedures",Other,3
Malignancy of hepatobiliary system & pancreas,Cancer,3
Major depressive disorders & other/unspecified psychoses,Metal Health,3
Hypertension,Circulatory,3
Extracranial vascular procedures,Circulatory,3
"Other back & neck disorders, fractures & injuries",Other,3
"Post-op, post-trauma, other device infections w O.R. procedure",Infection,3
Peritoneal adhesiolysis,Other,3
Skin ulcers,Other,3
Other respiratory & chest procedures,Respiratory,3
Major chest & respiratory trauma,Trauma,3
Coagulation & platelet disorders,Circulatory,3
Other small & large bowel procedures,Other,3
"Malfunction, reaction & complication of GI device or procedure",Other,3
Abdominal pain,Other,3
"Tendon, muscle & other soft tissue procedures",Other,2
Tracheostomy w MV 96+ hours w extensive procedure or ECMO,Other,2
Vertigo & other labyrinth disorders,Other,2
Other digestive system & abdominal procedures,Other,2
"Other skin, subcutaneous tissue & related procedures",Other,2
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",Cardiology,2
Transient ischemia,Circulatory,2
Other infectious & parasitic diseases,Infection,2
Transurethral prostatectomy,Other,2
Viral meningitis,Infection,2
Migraine & other headaches,Neurological,2
Multiple significant trauma w/o O.R. procedure,Trauma,2
Connective tissue disorders,Other,2
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma",Trauma,2
Lymphatic & other malignancies & neoplasms of uncertain behavior,Cancer,2
Female reproductive system malignancy,Cancer,2
"Malfunction, reaction, complic of orthopedic device or procedure",Other,2
Intracranial hemorrhage,Cancer,2
Angina pectoris & coronary atherosclerosis,Cardiology,2
"Lymphoma, myeloma & non-acute leukemia",Cancer,2
"Neonate birthwt >2499g, normal newborn or neonate w other problem",Other,2
Extensive procedure unrelated to principal diagnosis,Other,2
Nonspecific CVA & precerebral occlusion w/o infarct,Circulatory,2
Allergic reactions,Other,2
Infections of upper respiratory tract,Infection,2
Skin graft for skin & subcutaneous tissue diagnoses,Other,1
Eating disorders,Metal Health,1
"Drug & alcohol abuse or dependence, left against medical advice",Drug Issue,1
Sickle cell anemia crisis,Circulatory,1
Schizophrenia,Metal Health,1
Degenerative nervous system disorders exc mult sclerosis,Neurological,1
Other antepartum diagnoses,Other,1
Chest pain,Other,1
"Contusion, open wound & other trauma to skin & subcutaneous tissue",Other,1
Toxic effects of non-medicinal substances,Other,1
Tracheostomy w MV 96+ hours w/o extensive procedure,Other,1
Cardiac structural & valvular disorders,Cardiology,1
Cardiac arrest and shock,Cardiology,1
Breast procedures except mastectomy,Other,1
Uterine & adnexa procedures for non-ovarian & non-adnexal malig,Other,1
Uterine & adnexa procedures for ovarian & adnexal malignancy,Cancer,1
Anal procedures,Other,1
Viral illness,Infection,1
Female reproductive system infections,Infection,1
Inflammatory bowel disease,Other,1
Fever,Other,1
Other significant hip and femur surgery,Other,1
Other O.R. procedures for lymphatic/hematopoietic/other neoplasms,Other,1
O.R. procedure for other complications of treatment,Other,1
Nervous system malignancy,Cancer,1
Nephritis & nephrosis,Other,1
Neonate bwt <500g or GA <24 weeks,Other,1
Moderately extensive procedure unrelated to principal diagnosis,Other,1
"Other kidney, urinary tract & related procedures",Other,1
Mastectomy procedures,Other,1
"Malignancy, male reproductive system",Cancer,1
Male reproductive system diagnoses except malignancy,Other,1
"Other skin, subcutaneous tissue & breast disorders",Other,1
HIV w one signif HIV cond or w/o signif related cond,Infection,1
Major skin disorders,Other,1
Major respiratory & chest procedures,Respiratory,1
"Other stomach, esophageal & duodenal procedures",Other,1
Major abdominal vascular procedures,Circulatory,1
Knee & lower leg procedures except foot,Other,1
Kidney & urinary tract procedures for nonmalignancy,Other,1
"Permanent cardiac pacemaker implant w AMI, heart failure or shock",Cardiology,1
"Inguinal, femoral & umbilical hernia procedures",Other,1
Other circulatory system procedures,Circulatory,1
Postpartum & post abortion diagnoses w/o procedure,Other,1
Malignant breast disorders,Cancer,1
