apr_drg_description,diagnosis,count
Septicemia & disseminated infections,Infection,262
Chronic obstructive pulmonary disease,Respiratory,189
Heart failure,Cardiology,128
Other pneumonia,Respiratory,125
RENAL FAILURE,Other,114
Acute myocardial infarction,Cardiology,60
Respiratory Failure,Respiratory,52
Infectious & parasitic diseases including HIV w O.R. procedure,Infection,51
Cardiac arrhythmia & conduction disorders,Other,40
Hypovolemia & related electrolyte disorders,Other,26
Major respiratory infections & inflammations,Infection,26
Diabetes,Diabetes,26
Other & unspecified gastrointestinal hemorrhage,Other,25
Cellulitis & other skin infections,Other,24
Intestinal obstruction,Other,24
Poisoning of medicinal agents,Other,24
Kidney & urinary tract infections,Infection,22
Electrolyte disorders except hypovolemia related,Other,18
Major gastrointestinal & peritoneal infections,Infection,18
Pulmonary embolism,Respiratory,18
"Other gastroenteritis, nausa & vomiting",Infection,17
Nontraumatic stupor & coma,Neurological,16
Major small & large bowel procedures,Other,16
Peripheral & other vascular disorders,Circulatory,16
Cardiac catheterization for coronary artery disease,Cardiology,15
Peptic ulcer & gastritis,Other,15
Other digestive system diagnoses,Other,14
Vaginal delivery,Other,13
Laparoscopic cholecystectomy,Other,12
Percutaneous coronary intervention w AMI,Cardiology,12
CVA & precerebral occlusion w infarct,Circulatory,12
Disorders of pancreas except malignancy,Other,11
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",Respiratory,11
"Malfunction, reaction, complic of genitourinary device or proc",Other,10
Respiratory system diagnosis w ventilator support 96+ hours,Respiratory,10
Gastrointestinal vascular insufficiency,Circulatory,9
Disorders of gallbladder & biliary tract,Other,9
Other endocrine disorders,Other,9
Other anemia & disorders of blood & blood-forming organs,Circulatory,8
Respiratory malignancy,Cancer,8
"Other kidney & urinary tract diagnoses, signs & symptoms",Other,8
Toxic effects of non-medicinal substances,Other,7
Digestive malignancy,Cancer,7
Alcohol abuse & dependence,Drug Issue,7
"Other hepatobiliary, pancreas & abdominal procedures",Other,6
OTHER VASCULAR PROCEDURES,Other,6
Other musculoskeletal system & connective tissue diagnoses,Other,6
Malignancy of hepatobiliary system & pancreas,Cancer,6
Diverticulitis & diverticulosis,Infection,6
Foot & toe procedures,Other,6
Major chest & respiratory trauma,Trauma,5
"Malfunction, reaction & complication of GI device or procedure",Other,5
Nonextensive procedure unrelated to principal diagnosis,Other,5
Other esophageal disorders,Other,5
Cesarean delivery,Other,5
"Post-operative, post-traumatic, other device infections",Infection,5
Hip joint replacement,Other,5
"Other back & neck disorders, fractures & injuries",Other,5
Major hematologic/immunologic diag exc sickle cell crisis & coagul,Circulatory,5
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",Cardiology,5
