,Age Score,Percent Female,Percent Caucasian,Avg APR Severity,Avg APR Mortality Risk,Percent Emergency Admission
All Diagnoses,2.5054038997214483,0.5966573816155989,0.9367130919220056,1.9194428969359332,1.624066852367688,0.6606128133704735
Infection,2.7890792291220556,0.588865096359743,0.961456102783726,2.386509635974304,2.112419700214133,0.8661670235546038
Neurological,2.0822784810126582,0.5759493670886076,0.9493670886075949,1.8987341772151898,1.620253164556962,0.8544303797468354
,0.0,0.0,0.0,0.0,0.0,0.0
Metal Health,1.0549019607843138,0.49019607843137253,0.9352941176470588,1.772549019607843,1.1058823529411765,0.8803921568627451
Respiratory,2.8537549407114624,0.558300395256917,0.9565217391304348,2.233201581027668,1.8893280632411067,0.8320158102766798
Drug Issue,0.8275154004106776,0.3531827515400411,0.7330595482546202,1.6160164271047228,1.0759753593429158,0.48459958932238195
Cardiology,3.52834008097166,0.5809716599190283,0.9767206477732794,2.200404858299595,2.077935222672065,0.8906882591093117
Diabetes,2.725,0.4375,0.925,1.9625,1.6875,0.925
Circulatory,3.3864306784660765,0.6342182890855457,0.9498525073746312,2.056047197640118,1.8554572271386431,0.7787610619469026
Cancer,1.6507936507936507,0.49206349206349204,0.9523809523809523,2.4761904761904763,2.3333333333333335,0.7301587301587301
Trauma,2.3333333333333335,0.6,0.9333333333333333,2.2666666666666666,2.1333333333333333,1.0
