,Age Score,Percent Female,Percent Caucasian,Avg APR Severity,Avg APR Mortality Risk,Percent Emergency Admission
All Diagnoses,2.517490952955368,0.5919352059279683,0.9408926417370326,3.082543511976564,1.8090313684936228,0.5998621402722729
Infection,3.156498673740053,0.5649867374005305,0.9456233421750663,2.7108753315649867,2.452254641909814,0.9058355437665783
Neurological,3.0303030303030303,0.6060606060606061,0.9393939393939394,2.3181818181818183,1.9545454545454546,0.8636363636363636
,0.0,0.0,0.0,0.0,0.0,0.0
Metal Health,1.625,0.5,0.9375,2.1875,1.5625,0.8125
Respiratory,3.0978120978120978,0.5353925353925354,0.9613899613899614,2.541827541827542,2.2316602316602316,0.8622908622908623
Drug Issue,1.5681818181818181,0.25,0.8181818181818182,2.3181818181818183,1.6818181818181819,0.8863636363636364
Cardiology,2.638655462184874,0.5098039215686274,0.9439775910364145,2.53781512605042,2.481792717086835,0.9019607843137255
Diabetes,1.5517241379310345,0.3793103448275862,0.9310344827586207,2.603448275862069,2.103448275862069,0.9310344827586207
Circulatory,3.4160305343511452,0.6145038167938931,0.9465648854961832,2.2404580152671754,2.122137404580153,0.8206106870229007
Cancer,1.6363636363636365,0.5636363636363636,1.0,2.581818181818182,2.5636363636363635,0.7818181818181819
Trauma,0.5833333333333334,0.16666666666666666,1.0,2.5833333333333335,2.3333333333333335,0.8333333333333334
